company_name,job_title,department,location,seniority,job_url,growth_signal_tag
Paytm,Akamai Engineer,Technology,Noida,Other,https://jobs.lever.co/paytm/3c041104-b2e8-4568-9f5e-cc039f24ebac,
Razorpay,Product Designer I,Product Design,Bengaluru,Other,https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited/jobs/4556450005,
Razorpay,Lead Product Designer,Product Design,Bengaluru,Lead,https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited/jobs/4481112005,
Paytm,Brand Marketing - Assistant General Manager,Marketing,Noida,Other,https://jobs.lever.co/paytm/7ce20176-9d13-4d1c-8c4f-1622b80ebfb4,
Razorpay,Application Engineer,Product Management,Bengaluru,Other,https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited/jobs/4572179005,
Urban Company,Senior Category Manager,Business,Mumbai,Senior,https://careers.urbancompany.com/jobDetail?id=93dbb1f4-a30e-46c3-adba-55be37d23d7c,
Drip Capital,Relationship Manager (Growth India),Growth India,"Mumbai, Maharashtra, India",Other,https://dripcapital.hire.trakstar.com/jobs/fk0pcf9/,
Zolve,Credit Risk Senior Manager,Credit Assessment,Bengaluru,Senior,https://zolve.freshteam.com/jobs/iNY1CqW2F9f_/credit-risk-senior-manager,
Groww,Technical Program Manager,Engineering,Bengaluru,Other,https://job-boards.eu.greenhouse.io/groww/jobs/4533799101,
Zolve,AML Analyst,Compliance,Bengaluru,Other,https://zolve.freshteam.com/jobs/-0XIXvpr7dDB/aml-analyst,
Zolve,Car Loan Business Lead,Business,Bengaluru,Lead,https://zolve.freshteam.com/jobs/QiFAQzBGfYcn/car-loan-business-lead,
Urban Company,Category Manager,Business,Bangalore,Other,https://careers.urbancompany.com/jobDetail?id=5ee657ad-3602-4c2d-8566-51692e739926,
Razorpay,Staff Software Development Engineer,Backend,Bengaluru,Other,https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited/jobs/4530399005,
Paytm,IT Auditor - Technical Security,Enabling,Noida,Other,https://jobs.lever.co/paytm/e62e1408-6fab-499d-be5e-e1a1ae0fad52,
Paytm,KAM - EDC - Bangalore,Sales,Bengaluru,Other,https://jobs.lever.co/paytm/de2223d5-d313-48b9-a0af-d467e61a269c,
Meesho,Associate - Category - Meesho Grocery,Meesho Grocery,Bengaluru,Mid,https://meesho.io/jobs/associate---category---meesho-grocery?id=5eb91540-9431-4bb6-9cba-83bbfe8fce1e,
Drip Capital,Senior Data Analyst,Strategy,"Mumbai, Maharashtra, India",Senior,https://dripcapital.hire.trakstar.com/jobs/fk0po4u/,
Urban Company,Salon Trainer,Business,Mumbai,Other,https://careers.urbancompany.com/jobDetail?id=e1f0e1a6-cf68-46a8-9e1f-dc9fe3aed537,
Meesho,Assistant Manager - Business Finance,"Finance, Legal & PR",Bengaluru,Other,https://meesho.io/jobs/assistant-manager---business-finance?id=df4994e3-ccc9-4878-8bee-297c48ed7903,
Razorpay,Senior Solution Engineer,Solutions,Malaysia,Senior,https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited/jobs/4536254005,
Drip Capital,Database Marketing Specialist,Marketing,"Mumbai, Maharashtra, India",Other,https://dripcapital.hire.trakstar.com/jobs/fk0pa7i/,
Paytm,Banking Alliance - EDC Retail,Sales,Hyderabad,Other,https://jobs.lever.co/paytm/06b3817a-0f2d-4297-a46d-64e567fb6451,
Groww,Intern - Content Operations,Growth,Bengaluru,Intern,https://job-boards.eu.greenhouse.io/groww/jobs/4599624101,
Razorpay,Database Administrator,DevOps,Bengaluru,Other,https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited/jobs/4570336005,
Urban Company,Category Manager - City,Business,Mumbai,Other,https://careers.urbancompany.com/jobDetail?id=da0c9aaa-07fd-400e-b021-07eb5a16e517,
Urban Company,SM - City LSDC,Business,Bengaluru,Other,https://careers.urbancompany.com/jobDetail?id=70880f78-f586-4ff8-a3b2-4c7b20b0d299,
Razorpay,Compliance EngineerNew,Compliance,Bengaluru,Other,https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited/jobs/4575757005,
Zolve,Legal,Business,Bengaluru,Other,https://zolve.freshteam.com/jobs/C_svwjtu2Qsc/legal,
Razorpay,Assistant Manager - Tech Support Engineering,Tech Support Engineering,Bengaluru,Other,https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited/jobs/4550750005,
CRED,people business partner,Talent & culture,Bengaluru,Other,https://careers.cred.club/openings/ca6cd6ec-ff19-4a69-b03a-16b6ed0cbda8,
Urban Company,Senior Manager- Central,Business,Delhi NCR,Senior,https://careers.urbancompany.com/jobDetail?id=524b6ddf-1f8f-4924-ba54-2e9f425be457,
Paytm,Area Sales Manager - Manager - EDC Retail,Sales,Amritsar,Other,https://jobs.lever.co/paytm/430224ab-f7fe-4b4a-9460-d16e2127261c,
Paytm,Admin & Operations - Internship,Admin,Noida,Intern,https://jobs.lever.co/paytm/94221c3b-72c1-4086-a023-5ba16a977d67,
Urban Company,Category Manager,Business,Ahmedabad,Other,https://careers.urbancompany.com/jobDetail?id=8bb6fec2-ebae-4a4b-9422-a77a24703142,
Drip Capital,Branding & Communications Manager,Marketing,"Mumbai, Maharashtra, India",Other,https://dripcapital.hire.trakstar.com/jobs/fk0pa7y/,
Drip Capital,Business Development Manager - US,Growth (United States),"Mumbai, Maharashtra, India",Other,https://dripcapital.hire.trakstar.com/jobs/fk0pfwp/,
Urban Company,Zonal Trainer,Business,Mumbai,Other,https://careers.urbancompany.com/jobDetail?id=0a41e5a8-05b2-40f2-a57b-bb87c0b1be60,
Razorpay,Lead Technical Consultant,Tech Support Engineering,Bengaluru,Lead,https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited/jobs/4539457005,
Razorpay,"Associate Manager, New Initiatives",NIT Client Success,Bengaluru,Mid,https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited/jobs/4545187005,
Meesho,Assistant Manager- Insurance,"Finance, Legal & PR",Bengaluru,Other,https://meesho.io/jobs/assistant-manager--insurance?id=1b281013-2584-49a3-aae4-ee754a29f01c,
Yellow.ai,Account Executive (BFSI),,"Mumbai, Maharashtra, India",Other,https://careers.yellow.ai/jobs/Careers/157454000000948717/Account-Executive-BFSI?source=CareerSite,
Razorpay,Senior Manager - Banking Alliance,Banking Alliances,Singapore,Senior,https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited/jobs/4538531005,
Razorpay,"Manager, HRBP",HRBP,Bengaluru,Other,https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited/jobs/4569465005,
Razorpay,Senior Technical Program Manager I,Technical Program Management,Bengaluru,Senior,https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited/jobs/4561316005,
Urban Company,Category Manager,Business,Chennai,Other,https://careers.urbancompany.com/jobDetail?id=680c886e-b414-4019-8d2a-798f03c54275,
Yellow.ai,SEA Manager,,Remote,Other,https://careers.yellow.ai/jobs/Careers/157454000000948408/SEA-Manager?source=CareerSite,
Razorpay,Technical Account ManagerNew,Technical Account Management,Bengaluru,Other,https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited/jobs/4556012005,
Zolve,Business Analyst,Business,Bengaluru,Other,https://zolve.freshteam.com/jobs/kpvySX3aW2CY/business-analyst,
Paytm,Growth Management - Senior Manager - Bill Payments,Growth,Noida,Senior,https://jobs.lever.co/paytm/0bcd97c8-98d3-40ef-a4fd-4400f6eab9bd,
Razorpay,Senior Associate - Mid MarketsNew,Mid Market Accounts,Bengaluru,Mid,https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited/jobs/4572801005,
Meesho,Associate Category  -Pricing,Business,Bengaluru,Mid,https://meesho.io/jobs/associate-category---pricing?id=d5693b68-6101-4a16-98e4-e8ad433b8696,
Paytm,KAM Lead(Sales) - EDC Retail - Bangalore,Sales,Bangalore,Lead,https://jobs.lever.co/paytm/2ae875f2-e0bb-4a80-8e32-410400e57ca6,
Meesho,Assistant Manager - Control Tower,Fulfilment & Experience,Bengaluru,Other,https://meesho.io/jobs/assistant-manager---control-tower?id=1dd3909b-49d0-44d6-95cc-884eb18a4bde,
Paytm,Area Sales Manager - EDC Retail (Kozhikode),Sales,Kozhikode,Other,https://jobs.lever.co/paytm/4f55727e-a5cd-4eb1-8aa2-bb45beedfddf,
Meesho,Android Developer - I,Tech,Bengaluru,Other,https://meesho.io/jobs/android-developer---i?id=f35e1cae-5847-4b92-bd76-c0474197724f,
Zolve,Collections Executive,Credit Assessment,Bengaluru,Other,https://zolve.freshteam.com/jobs/ntnloVsCgdUm/collections-executive,
Groww,Lead Business Analyst,Business Analytics,Bengaluru,Lead,https://job-boards.eu.greenhouse.io/groww/jobs/4528317101,
Zolve,Credit Bureau Reporting Analyst,Credit Assessment,Bengaluru,Other,https://zolve.freshteam.com/jobs/tGL8n9MX4yle/credit-bureau-reporting-analyst,
Meesho,Assistant Manager/ Manager- Program Strategy - Fulfilment & Experience,Fulfilment & Experience,Bengaluru,Other,https://meesho.io/jobs/assistant-manager-manager--program-strategy---fulfilment--experience?id=bff1bcf3-ae0e-4218-94e0-38c45f2a9177,
Drip Capital,Sales Development Representative - US,Growth (United States),"Mumbai, Maharashtra, India",Other,https://dripcapital.hire.trakstar.com/jobs/fk0p7sd/,
Meesho,Assistant Manager- Finance (Accounts Payable),"Finance, Legal & PR",Bengaluru,Other,https://meesho.io/jobs/assistant-manager--finance-accounts-payable?id=2c231e80-d6aa-41b3-b843-313abf9fc382,
Groww,Site Reliability Engineer,Devops,Bengaluru,Other,https://job-boards.eu.greenhouse.io/groww/jobs/4528375101,
Urban Company,Zonal Trainer - Pest Control,Business,Bangalore,Other,https://careers.urbancompany.com/jobDetail?id=4f045cbd-e116-4551-9607-8e90dc104622,
Razorpay,Associate Consultant,Corporate Strategy,Bengaluru,Mid,https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited/jobs/4569262005,
Meesho,Assistant Manager- Controllership,"Finance, Legal & PR",Bengaluru,Other,https://meesho.io/jobs/assistant-manager--controllership?id=9471ca2b-b422-4ea3-b7eb-3c9afc30115f,
Drip Capital,Performance Marketing Lead – US Market,,"Mumbai, Maharashtra, India",Lead,https://dripcapital.hire.trakstar.com/jobs/fk0pa79/,
Yellow.ai,Account Manager,,"Bangalore South, Karnataka, India",Other,https://careers.yellow.ai/jobs/Careers/157454000000939011/Account-Manager?source=CareerSite,
Razorpay,Security EngineerNew,Security,Bengaluru,Other,https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited/jobs/4575761005,
Drip Capital,"Intern, Legal Documentation",Collections & Stressed Account Management,"Mumbai, Maharashtra, India",Intern,https://dripcapital.hire.trakstar.com/jobs/fk0palm/,
Razorpay,Staff Analytics SpecialistNew,Product Analytics,Bengaluru,Other,https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited/jobs/4574820005,
Meesho,Assistant Manager - AI Services,AI Services,Bengaluru,Other,https://meesho.io/jobs/assistant-manager---ai-services?id=8a4a8dd0-9814-46f9-8467-30d3dc547f17,
Yellow.ai,Business Development Representative,,"Bangalore South, Karnataka, India",Other,https://careers.yellow.ai/jobs/Careers/157454000000920165/Business-Development-Representative?source=CareerSite,
Paytm,Internal Audit- Industrial Trainee,"Legal, risk & compliance",Noida,Intern,https://jobs.lever.co/paytm/19ac8e0f-311d-45be-9788-560b6333b112,
Paytm,SAP- HANA (FICO) - Manager,Finance,Noida,Other,https://jobs.lever.co/paytm/d779975c-a7fb-4a32-b9d8-20e00617d05e,
Paytm,Regional Manager - General Manager,Sales,Chennai,Other,https://jobs.lever.co/paytm/97684829-2aa6-4415-a5e0-86a9c04ad461,
Urban Company,Category Manager - Mumbai,Business,Mumbai,Other,https://careers.urbancompany.com/jobDetail?id=13f1a9bf-56b2-4cdd-b406-282eb8f83e5f,
Urban Company,Category Manager-Central,Business,Bangalore,Other,https://careers.urbancompany.com/jobDetail?id=2022ea4a-a772-416a-bac5-24a72a64a038,
Zolve,Senior Product Designer,Product,Bengaluru,Senior,https://zolve.freshteam.com/jobs/GcTF-tpWtnVO/senior-product-designer,
Drip Capital,Senior Relationship Manager (Growth India),Growth India,"Mumbai, Maharashtra, India",Senior,https://dripcapital.hire.trakstar.com/jobs/fk0pcfb/,
Razorpay,Manager - SME Sales,SME Sales,Singapore,Other,https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited/jobs/4539872005,
Urban Company,Category Manager,Business,Hyderabad,Other,https://careers.urbancompany.com/jobDetail?id=e79c7eb6-6a95-48cf-9f0e-6fc38c62ca39,
Paytm,Product Management - Product Manager - Agent Product,Product,Bangalore,Other,https://jobs.lever.co/paytm/746b8c52-aeaa-420d-9b25-1e6f302c31f6,
Razorpay,Senior Associate - Channel Partnership,Online Payments Sales,Bengaluru,Mid,https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited/jobs/4572197005,
Paytm,Business Analyst - Team Lead,Analytics,Bangalore,Lead,https://jobs.lever.co/paytm/f7d37ad5-9d03-4250-9057-ef37f02faa2b,
Paytm,Manager - Finance (IT Costing),It,Noida,Other,https://jobs.lever.co/paytm/12c75bf9-4c02-4b86-bba7-36dbfe5f29fa,
